"ĐÃ SẮP XẾP THEO QUẬN, HUYỆN		",,Mn muốn recommend quán ở quận nào thì add thêm dòng ở quận đó nha,Filter ,,"MỌI NGƯỜI LỌC THEO QUẬN, HUYỆN TÌM CHO DỄ NHA!",,
Loại quán,Món - Quán,ĐỊA CHỈ - CN,Quận,Giá tiền,Review,FEEDBACK MN,ỤA MN CÓ CHỈNH ĐƯỢC SHEET KHÔNG DẠ? TUI ĐÃ BẬT PUBLIC EDIT RỒI Á
,Nhâm II,"195/10/2 Đ. Điện Biên Phủ, Phường 2, Bình Thạnh, Hồ Chí Minh. Maps: https://maps.app.goo.gl/3Fyansipoe4a74489",Bình Thạnh,Từ 45-85k,"Thức uống tùy khẩu vị nè, bánh ngon, không gian sống ảo đoẹp. Được mang máy ảnh nếu có. Tầng dưới mát hơn tầng trên, quán dùng ánh mặt trời nhiều ",,
,Bánh cuốn Hạnh Phúc ,"146 Nguyễn Gia Trí, P. 25, Q. Bình Thạnh, TP. HCM - Maps: https://maps.app.goo.gl/nuywto9zYVEZJ9v28",Bình Thạnh,25-30k,"Bánh cuốn trứng ngon nha, nước chấm cũng okie ",,
,Tiệm ăn gặm,8/10 Nguyễn Thiện Thuật p14 Bình Thạnh,Bình Thạnh,,,,
,Nhà Tạo,52g Vũ Huy Tấn p1,Bình Thạnh,55 - 60,Matcha cookie ngon bá cháy ,,
,Fukatsu,"45D/5 Đường D5, Phường 25, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,,,,
,Bún riêu Khoa Cua,168/38D Nguyễn Gia Trí p25,Bình Thạnh,32k,ngon nhé. gọi phần huyết thêm được nhiều huyết lắm.,,
,Nhà tạo Cafe,"52g Vũ Huy Tuấn, phường 1, Bình Thạnh",Bình Thạnh,35k-60k,"quán hơi nhỏ, trong nhà (có máy lạnh), ngoài sân có cây cỏ nên thoáng mát, vibe quán kiểu vintage, dễ chịu, nhân viên quán dễ thương, nước ngon, nhưng phải đậu xe bên phía chung cư đối diện quán","quán không gian siêu cute á, ngồi trò chuyện đồ cảm giác chữa lành lắm, nhân viên cũng thân thiện dth",
,Lẩu và nướng ngon số dzách ,"số 1 Bùi Đình Tuý, Quận Bình Thạnh ",Bình Thạnh,,,,
,Tino - Sushi & Yaki,430/79b điện biên phủ p17 bình thạnh,Bình Thạnh,40-mấy chem,"quán núp hẻm, giá khom rẻ lắm nhưng mà siêu ngon trời ơi. cô chú dth lắm luôn, buổi trưa từ 14g-16g quán nghỉ trưa còn lại mở cửa sáng tối nha",,
,aoyama,"1H Mê Linh, Phường 19",Bình Thạnh,>150k/món,món nhật siêu ngon,,
,"Hột zịt lộn , cút xào me",160 Bùi Đình Tuý ( đầu hẻm),Bình Thạnh,>9k,"muôi tiêu ở đây ngon ẻ chải , thề thử đi ae",,
,Bánh tráng trộn dì Nguyên,"52 Bùi Đình Tuý, P.12, Q.Bình Thạnh",Bình Thạnh,>=20k,"rcm bánh tráng muối tỏi của dì trộn, nó ngon mà cái nách giựt giựt luôn á",,
,"bánh tráng nướng, khoai chuối chiên  Cô Hà ",hẻm 354 phan văn trị phường 11,Bình Thạnh,15-25,"bán từ 4h đến 8,9h ăn là nghiện ( bán mang về)",,
,Sushi zá ổn - Sushi Tí,"41 Huỳnh Tịnh Của, P.19",Bình Thạnh,,,,
,Pờ cafe (cái bánh khoai lang matcha ngon),"193/16 Bà Hạt, P.9",Bình Thạnh,,,,
, Hà Nội (hanqdaa_22),Đối diện trường Đại học Giao thông vận tải,Bình Thạnh,55k,"Ngon bá cháy, ăn bún siêu no, một phần siêu đầy đủ",,
,Chicken Man,"45 Võ Oanh, Phường 25, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,>100k,"Mì lạnh siêu ngon, gà rán ngoài giòn trong mọng nước, phần ăn khá nhiều nên đi 2 người trở lên",,
,Lẩu Sa Chuỷ,11 Thích Quảng Đức ,Bình Thạnh,Lẩu gọi món,Này là quán theo style Hong Kong nên là lẩu Hoa nha. Món rẻ và chất lượng phù hợp giá tiền. Thỉnh thoảng chọn địa điểm này đi ăn nói chuyện với bạn bè cũng ổn ,,
,Nhạt & sourdough ,"45/7/1 (31/8) Nguyễn Văn Lạc, P.21",Bình Thạnh,,,,
,Ba hí sài gòn,"93 Vạn Kiếp, P.3 Bình Thạnh",Bình Thạnh,>45k,"gọi sốt honey garlic, gọi sốt honey garlic, gọi sốt honey garlic. cái gì quan trọng nhắc 3 lần!!",,
,Bún riêu Trang Kang,"40A Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",Bình Thạnh,35k - 60k,,,
,Quán nướng Bohasa,317 Điện Biên Phủ,Bình Thạnh ,<100k<300k,View xịn ,,
,Hẻm Thái,157/36 Nguyễn Gia Trí,Bình Thạnh ,<69k,đặt bàn trước nhe,,
,Xôi Ngọc - Vạn Kiếp,"101 Vạn Kiếp, Phường 1, Bình Thạnh, Hồ Chí Minh",Bình Thạnh ,25-45k,No điênnnn,,
,Tiệm chè cô Tư,"Nguyễn Gia Trí, Bình Thạnh ( mở sau 8h)",Bình Thạnh ,,,,
,Kimpap joy,Bình thạnh,Bình Thạnh ,70/1ng no lun,,,
,Chè An (chè dừa non lá nếp),"64/20 Võ Oanh, Bình Thạnh",Bình Thạnh ,,,,
,Trà mãng cầu,cạnh trường IUH,Gò Vấp,< 37k,,,
,Nem nướng Quảng Nam Tam Kì,282 Nguyễn Thái Sơn ,Gò Vấp,< 45k,,,
,Lẩu cá 69k,689 Nguyễn Kiệm,Gò Vấp,<79k ,Xứng đáng đồng tiền,,
,Chè nhà đậu,"620 Lê Đức Thọ, phường 15, Gò Vấp",Gò Vấp,20-50k,"Đối diện trường mầm non Đức Tuấn, bánh flan ngon",,
,Dimsum Thiên Ý,965/54 Quang Trung p14,Gò Vấp,35 - 39,"đi mấy lần rồi á, ngon lắm í. có cả menu nước nữa. trà trái cây topping ê hề",,
,Cút lộn chiên giòn bơ tỏi cô Phúc,91 Nguyễn Oanh ,Gò Vấp,20-30k tùy món,"(ăn cuốn lắm, thử đi mọi người, 1 phần cũng gẻ), chỗ này cũng 2 -3 quán, có thể thử xem ở đâu hợp hơn",,
,Lươn Ta - Chuẩn Vị Xứ Nghệ - Phạm Huy Thông,"44 Phạm Huy Thông, P. 7, Gò Vấp, TP. HCM.",Gò Vấp,>45k,"Miến lươn siu ngonnn ,chủ dễ thương lúm mn",,
,Bánh ướt chồng dĩa Cô Út,710/2 Phan Văn Trị,Gò Vấp,>100k,,,
,"Bánh cuốn,  Bắc ",không có địa chỉ map ghim map nhá : https://goo.gl/maps/9fYcQHNnvVmZifAQ6,Gò vấp ,>25k,chỗ này bán phải 24 năm rồi í từ hồi bé ở gò vấp mình ăn ở đây tới giờ bánh mềm mà ngon lắm thường nhà mình mua theo kí về ăn với chả 50k 1kg bánh cuốn bán từ 6h -10h sáng cũng bán theo phần 25-30 tùy người ăn thôi.,,
,Bếp chay Chú Mười ,"399 Nguyễn Văn Khối, P.8",Gò Vấp ,Từ 45k/ món,"Bọn tui hay họp nhóm tại quán này, quán này đồ ăn ngon, đổi gió cho mấy bạn thèm chay, bên này nhân viên nhiệt tình hỗ trợ
Tụi tui ăn lần nào cũng chọn quán này. ",,
,Trà sữa Pingu,Trước trường THPT Long Thới,Nhà Bè,>15,Rcm chè khúc bạch hết,,
,Gu Dimsum,"202 Đ. Phan Đăng Lưu, Phường 4, Phú Nhuận",Phú Nhuận,100 - 200k,đi tối nhiều món hơn,Mình nhớ menu có mấy món sau 16h bếp không phục vụ,
,Oasis Cafe ,176/1b Lê Văn Sỹ,Phú Nhuận,< 50k ,"Quán view siêu đẹp, có nhiều khách nước ngoài",,
,Home Ramen,"3 Hoa Cúc, Phường 7, Phú Nhuận",Phú Nhuận,100 - 200k,,,
,Thành coffee,"1 Nhiêu Tứ, Phú Nhuận",Phú Nhuận,30-70,"Cafe yên tĩnh nhennnnn, rcm trà vải khúc bạch",,
,Bò Né Trịnh,"64 Trần Huy Liệu, Phường 12, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,55 - 139,Mì Ý chỗ này siu ngonnn,,
,Fuji Kitchen,,Phú Nhuận,60 - 150k,"QUÁN NGHỈ THỨ 2. Nên đến sớm, đợi bàn hơi lâu + ra món cũng lâu 🥹🥹",,
,Cơm tấm hẻm 33," 33/16 Nguyễn Đình Chính, Phường 15, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,,,,
,Cơm gà Hồng Phát,"87 - 89 Hoàng Văn Thụ, Phường 8 Quận Phú Nhuận",Phú Nhuận,>50k,"Cơm gà luộc, có nước mỡ gà, canh cải ngọt siêu ngon nha, quán bán hồi lúc mình mới đẻ tới h chắc cũng mấy chục năm, cơm gà đùi thì mắc hơn, ăn kèm hắc xì dầu là tuyệt vời. có xá xíu cũng ngon nữa. Nấu kiểu người hoa nha mình dẫn bạn gái lại ăn thì bạn ăn ko quen nhưng mình ăn quen thấy ngon vl, gà đùi mềm da giòn vàng ươm",,
,Heaba Tea,"525/53 Huỳnh Văn Bánh, phường 13, quận Phú Nhuận",Phú Nhuận,,,,
,"Tiệm của Na nè ( cafe, trà ) - take away","534 Trường Sa, phường 2, quận Phú Nhuận",Phú Nhuận,12k - 50k,"Quán cafe, trà take away menu đa dạng",,
,The ox shack,"10i (i ngắn, Trần Hữu Trang, Phường 11, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,,,,
,HAMBURGER ÚT HIẾU,137/32 Lê Văn Sỹ ( tiệm cô U60 tuổi bán ạ ),Phú Nhuận,25k-40k tặng kèm nước,"Cô làm nhân hamburger ú nụ chất lượng lắm luôn, mình mê nhất hamburger gà phô mai trứng với khoai tây sốt kem hành ạaaa.",,
,Tiệm Bánh Tiramisu & Brownie Online,"Tên tiệm :"" Anno bake "" ở Instagram, tiktok",Phú Nhuận,45-85k/hộp 2 người ăn,Tiệm của bạn chủ nhỏ sinh viên. Ngon nhất là tiramisu matcha và brownie hạt á.,,
,Quán Vy (Cơm tấm - Bún thịt nướng),"D0.03 Chung cư EhomeS Phú Hữu, phường Phú Hữu, TP.Thủ Đức (Q9), TP.HCM",Phú Nhuận,,,,
,Bún mắm & Lẩu mắm Vy,"10H Trần Hữu Trang, Phường 11, Phú Nhuận",Phú Nhuận,,,,
,Bún chả Phố Cổ,"225 Phan Xích Long, Phường 2, Phú Nhuận, Hồ Chí Minh, Vietnam",Phú Nhuận,~50k,,,
,Mono Square Caffe,"79/5 Phan Đăng Lưu, Quận Phú Nhuận",Phú Nhuận,>35k,"Chỗ nì có bánh Croffle siêu ngon, có Coconut ball ăn cũng đc (mà hơi ngọt đối với tui á). Nước thì rcm uống Cafe muối nha ngon cực, quán vắng hợp cho ai muốn chạy deadline. Trên lầu có studio cho mấy bà đam mê chụp ảnh, bên quán set up rồi vô là chụp à nhma tui đi chủ yếu chạy deadline nên ít lên. Phòng máy lạnh dù 1ng ngồi mà vẫn mở cho khách lun. Vibe Hàn Quốc, kiểu như mấy film mà dưới là cf trên là cty á nên là buổi trưa 12h tui thấy nhvien xuống đông nên mấy bà đi mấy giờ khác cũng đc dù nhvien xuống có 30p j à. Hầm gửi xe to đùng dễ lấy nha",,
,Trà sữa Vợ nấu,984 Trường sa,Phú Nhuận ,20<35k,,,
,Bánh mì tiệm nhà lúa,465 Lê Văn Sỹ P.2 Q.Tân Bình,Tân Bình,~50k,"Nhiều ngang ngửa bánh mì Huỳnh Hoa, ai ăn ít thì gọi 1 ổ ăn 2 người đc lun",,
,Kimbap Hoàng Tử,"Bùi Thị Xuân, Tân Bình",Tân Bình,100k/ng,"Gà đút lò phô mai, cơm trộn trứng muối siu ngon",,
,BeMii cake,"155 Tân Sơn, Phường 15, Tân Bình",Tân Bình,35-400,"Bánh kem siêu ngon, nhưng mà sắp đóng cửa 🥲 đặt trước hoặc ghé mua bánh lẻ",,
,"Bánh ngọt, bông lan trứng muối - Bối Bakery","1 Bình Giã, P.13, Q. Tân Bình",Tân Bình,40 - 100k,"có trên mấy app shopeefood, grab",,
,Bún cá Duyên,"1A Thép Mới, P12, Tân Bình",Tân Bình,40-50k,"Bún cá Thái Bình, có cả canh cá, bánh đa đỏ. Nước dùng siêu ngon, ngọt cá, quán bán từ sáng tới gần chiều tối lun",,
,Chè Lâm Thạnh,63D Phạm Văn Hai,Tân Bình ,< 40k,,,
,Kimbap ông Chơng (delivery),"691 Cách Mạng Tháng 8, Phường 6, Tân Bình",Tân Bình,>100k,"Nên order trên app, mì lạnh với thịt chiên xốt chua ngọt ngon",,
,Xôi xéo Hà Nội ,7 Đường Ngô Thị Thu Minh (gần Chợ Phạm Văn Hai),Tân Bình ,Từ 20k ,"Ai thèm xôi xéo thì qua đây nha. Bán có sáng sớm à, mình ăn thấy nó ngon á ba. Chà bông ăn nó ngon, nó bông. Gói trong lá sen
Tròi quơi nó thơm má ưi. Đem về xa ăn vẫn nóng vẫn ngon nha. Có xôi cốm nx nhma mình thích ăn xôi xéo hơn ",,
,Phở Xuân ,"1 Lê Lai, Tân Bình HCM",Tân Bình,>55k,,,
,Mì Quảng Nghiêm,"276 Võ Thành Trang, Tân Bình ",Tân Bình ,35k-45k ,"Quán bán mấy chục năm rồi,chuẩn vị miền trung,quán ấm cúng,ngon lắm mng nên ghé ăn thử","Quán ngon,ăn đậm đà,giá hssv,quán lâu đời nên nhìn sẽ hơi cũ nhưng ngon xuất sắc nha",
,Quán bún riêu cua ,"Trước trường Tiểu học Hồ Văn Cường, đường Trịnh Đình Trọng ",Tân Phú ,Từ 30k,"Lâu lắm rồi ko ăn nên k biết còn bán ko, bán từ 10h30- 2h chiều là hết òi, hồi đó bán nhiều nhma ngon lắm nha. Từ khi ăn bún 
riêu quán đó là tui thích ăn bún riêu SG lun á ",,
,Quán chay Phước Thiện ,"281 Kênh Tân Hóa, P. Phú Trung (Ngay ngã tư Trịnh Đình Trọng- Kênh Tân Hóa), đi từ hướng Kênh Tân Hóa
thì ngã tư nhìn bên phải còn Trịnh Đình Trọng thì nhìn xéo bên phải luôn.",Tân Phú ,20K (Lâu r k ăn lại),"Quán nhìn nhỏ nhưng mà khách đông lắm, mà tui ăn thấy ngon nha. Cơm mấy cái thức ăn đậm đà đúng gu tui, bún chay cũng v. Mỗi ng 1 vị nhma với tui là ngon, tui 
dẫn bạn ăn bạn cũng kêu ngon. ",,
,Lagom Coffee & Patisserie Lab,318/1 Trịnh Đình Trọng,Tân Phú,20 - 100k,,,
,Ốc nhớ sài gòn,"136 trịnh đình trọng, Phú trung, quận tân phú ",Tân Phú,30-70,"Ốc ở đây siu ngon lun. Tới đây là phải ăn ốc hương trứng muối với sụn gà liền. Mà còn rẻ nữa, quán đông mà tui thấy làm nhanh lắm. Mà nước chấm ở đây là nước mắm tắc kẹo kẹo á. Hong có nước mắm ngon lỏng lỏng. Tui mê lắmmmm",,
,Quán của Lâm,"Khuông Việt, quận Tân Phú",Tân Phú,30k-70k,"Cơm trộn ngon lắm, có nhiều món, ưu đãi mỗi ngày, tuỳ ngày mỗi ưu đãi khác nhau, như chủ nhật là cơm trộn 39k",,
,Thuận Tường Quán,https://maps.app.goo.gl/wUq5DuJsdk41j94W9?g_st=com.google.maps.preview.copy,Tân Phú,40k-60k,"Lại đây nhớ ăn cơm sườn xù mexico nha siu ngon, đợi hơn lâu nhưng đáng nha ngon hơn bên mấy quán q5",,
Món Nhật,Sumo Sushi,"15 Đ. Gò Dầu, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",Tân Phú,100-200k/người,"Signature là salad/rong nho có sốt chấm riêng của quán ăn dính hơn ke. Các món chế biến như roll, đồ nướng, canh cứ phả gọi là dính mồm. Giá rẻ so với các quán sushi khác, có máy lạnh nhé",,
,MÌ QUẢNG ĐẠI LỘC,"44 Vườn Lài,phường Tân Thành,Tân Phú",Tân Phú,35k-45k,"Quán có 1 chi nhánh,ăn ngon xỉu chuẩn vị miền Trung,siêu rcm cho bạn nào ghiền đồ ăn miền Trung giống mình","ê ngon lắm,hợp giá tiền nữa,rcm mì gà,mì cá lóc mà mình siêu tâm đắc ",
,Ốc Vinh -30k,168 Lê Lư,Tân Phú, 30k,"Sò ốc khá tươi, nên ăn sò huyết, ốc len xào dừa, mì xào ốc móng tay ",,
,Cơm Tấm Thành Công,"64 thành công p.tân thành quận Tân Phú
 ",Tân Phú,40K,"Quán siêu ngon , có món kim chi quán làm ngon lắm , nhanh nhẹn nữa ",,
Món Việt,Nem nướng ,"5-7, Đ. Số 38, Thảo Điền, Thủ Đức, Hồ Chí Minh",Thủ Đức,>70,,,
Món Nhật,Sushi Thủ Đức OSAKA,"58 Phú Châu, phường Tam Phú, Thủ Đức",Thủ Đức,~30k,"quán sushi đầu tiên ở TĐ, ngon, giá siu hssv, điểm trừ duy nhất là nhỏ và đông, còn lại nv, chất lượng kphai bàn","quán ruột tui, chất lượng xỉu, nhân viên dth nữa, lần nào qua cũng đông hớt trơn",
Nước,Quán trà sữa Bách Vị Trà,"42A, đường số 3, phường An Khánh, Quận 2, Tp.HCM",Thủ Đức,25-50,"Trà ổi hổng, matcha latte, trà sữa gạo rang ngon nha. Trà đậm vị. Giá ổn",,
Cafe,Myracle Café,"36 Đ. Số 10, Thảo Điền, Quận 2",Thủ Đức,50 - 60k,"Quán nhỏ, ấm cúng",,
Món Việt,Bánh cuốn Tây Sơn - Quán Quơ,"42 Đ. Số 16, Linh Chiểu, Thủ Đức",Thủ Đức,50k,"Mẹt 2 người 100k ăn bao no, được refill free chả ram, nước chấm, bánh tráng.. nhân viên dễ thương ",,
Cafe,Hue Cafe Roastery,"67B Xuân Thủy, Thảo Điền, Quận 2",Thủ Đức,50k,Chuẩn vị cafe muối Huế,,
Món Việt,bún bò giáo toàn,"218 Quốc lộ 1K, Linh Xuân, Thủ Đức, Hồ Chí Minh",Thủ Đức,>60k,"cực kì ngon cho ai ăn được mắm nêm, quán chill mát, phù hợp đi với gia đình hoặc nhóm bạn muốn thử không khí miền quê",,
Món Việt,Hủ tiếu cô Ba,"37 Đặng Thị Rành, Linh Tây",Thủ Đức,45-60 ,rcm mng hủ tiếu khô xí quách ngon nhứt nách 😭,,
Món Việt,Quán cơm Viên,"Giữa đường Tô Vĩnh Diện, Thủ Đức",Thủ Đức,<100,Bữa tui ăn 2 người no nóc mà tổng bill có 111k thui. Siu ngonnnnn,,
Món Việt,Bún bò Nam Nga,"116 Đặng Văn Bi, P Bình Thọ, Thủ Đức",Thủ Đức,>40k,"Tiệm bé, không có máy lạnh. Rcm ăn thử sườn bò. Sườn bò to lắm mà tô có 60k à 🤡",,
Món Việt,Bún cá xe đẩy,"4 Quốc Hương, Thảo Điền",Thủ Đức,>35k,"Góc Ngã ba Quốc Hương với đường số 41, có bún và bánh đa, cá là cá chiên, trứng cá, kiểu Bắc mà ăn ngon nha","NGON CỰC KỲ, NGON KINH KHỦNG!!!",
Món Việt,Bún Riêu Canh Bún Cô An,"31B Đường Lê Văn Thịnh, P.Bình Trưng Đông, Thủ Đức",Thủ Đức,35k-50k,"NGON LẮM, ốc tươi nhai giòn sần sật, nước lèo ninh xương ngọt thanh, riêu nhà làm siêu chất lượng. MUST TRY!",,
Ăn vặt,Bánh tráng nướng Lucky ,"Đường Trần Thị Điệu, P. Phước Long B (Gần Cao đẳng Công thương TPHCM)",Thủ Đức ,Nhiều giá,"Hehe tại k có dịp qua Thủ Đức chứ mà qua là phải qua bên này ăn, quán này bán từ tối hay sao á. 
Qua đây là phải ăn 4-5 cái cho đã nư, sốt chấm bánh tráng đa dạng từ: Mắm ruốc, mắm me, thêm tí tương ớt vs sa tế
là hết sảy con bà bảy. Tui dẫn đám bạn tui đi là ai cũng xin địa chỉ qua ăn á. Đơn giản mà cuốn lắm á",,
Món Việt,"Nui chiên, Bột chiên","43 Tân Lập, Đông Hoà",Thủ Đức,,,,
Món Việt,Bún riêu cua,"Đầu đường Chu Mạnh Trinh, Phường Bình Thọ, Thủ Đức, khúc Đoàn Kết rẽ vô",Thủ Đức,30~45k,"nhiều vl lun á, couple nào đi ăn thì có khả năng đối phương phải hốt lụi 🤣, nma ngon nha, mình ăn thấy vừa, bồ mình ăn thấy hơi nhạt (ổng ăn mặn)",,
Món Việt,"180 Đ. Hoàng Diệu 2, Phường Linh Trung, Thủ Đức",,Thủ Đức,40k-60k,"Sáng bán hủ tiếu Nam Vang, chiều bán bánh canh cua, nào cũng ngonnn",,
Món Việt,Bún đậu mắm tôm Tiến Hải,"Nhiều chi nhánh, search GG",Nhiều CN,>40k,Không ăn được dòi heo có thể ăn bên này,,
Món Việt,Bánh mì chim chạy,"Nhiều chi nhánh, search GG",Nhiều CN,~50k,,,
Nước,Bros Milktea,"Nhiều chi nhánh, search GG",Nhiều CN,40 - 60k,Chi nhánh quận Tân Bình rộng và nhiều chỗ ngồi hơn,,
Món Hàn,Hanuri - món Hàn,"Nhiều chi nhánh, search GG",Nhiều CN,50-250k,"Món nào cũng ngon, đi đông cho ăn được nhiều món, phù hợp hssv",,
,cheese pasta ,"Nhiều chi nhánh, search GG",Nhiều CN,70-150,must try mì ý tomyum siêu ngon,,
,Newdays,"Nhiều chi nhánh, search GG",Nhiều CN,Nhiều giá,"Matcha ngon lắm lắm lắm, phải thử",- Nên dặn vừa ngọt nếu bạn không muốn vị ngọt át vị matcha nhaaa,
,Vee Ayy Food,"Nhiều chi nhánh, search GG",Nhiều CN,,,,
Cafe,Early Morning,"Nhiều chi nhánh, search GG",Nhiều CN,,"Quán anh Đạt , ngồi nhiều gặp KOL nhất là Hoa Phượng",,
Món Việt,Bánh tráng Hoàng Ty,"Nhiều chi nhánh, search GG",Nhiều CN,,,,
Món Chay,Mì ramen chay Hiraki Vegetarian ,"Nhiều chi nhánh, search GG",Nhiều CN,40-60,ở chi nhánh Q10 buổi tối siu đông í 🌚,,
Món Việt,Nem nướng cô điệp,"Nhiều chi nhánh, search GG",Nhiều CN,>70,,,
Món Việt,Bún riêu mọc giòn cô Hương Béo ,"Nhiều chi nhánh, search GG",Nhiều CN,43-65,"Bún riêu kiểu bắc, mấy cái món ăn nhâm nhi như nem chua rán, ốc nhồi cũng ngonnn",,
Món Việt,Phở Trang,"Nhiều chi nhánh, search GG",Nhiều CN,,"Ngon, mà hơi ít ",,
Nước,Kong's Tea - Trà sữa Kong,"Nhiều chi nhánh, search GG",Nhiều CN,>10,"Rcm trs truyền thống, machiato, bị cái hay hết đá xay, trân châu đen",,
Món Việt,Nem nướng Út Hương,"Nhiều chi nhánh, search GG",Nhiều CN,,,,
,Vua Mì (Mì bò Đài Loan),"Nhiều chi nhánh, search GG",Nhiều CN,~55k,ngon quãi đạn,,
Món Việt,Hẻm đậu,"Nhiều chi nhánh, search GG",Nhiều CN,60 - 100,"đợt t ăn ở q3 thấy ngon á, gọi cái mẹt đặc biệt 2 ng ăn no luôn.","đậu giòn, ngon, nhân viên
thân thiện, giá thành hợp lí
mình đi chi nhánh q10",
,Haeduri chicken,"Nhiều chi nhánh, search GG",Nhiều CN,150-350k,Một món ở đây nhiều lắm lun. 2 người kiu 1 phần gà 180k là ăn no rùi á. Siu rcm gà sốt kem hành với tokbokki ramen,,
Món Việt,Bún mắm Cô 5 Đồng Tháp,Nhiều chi nhánh search GG,Nhiều CN,50-90k,"mình hay ăn bên CN Q8 ngay chân cầu Rạch Ông, khá ngon",,
,Truyền thuyết Champong,"Nhiều chi nhánh, search GG",Nhiều CN,,"rcm mạnh mỳ tương đen, thịt chua ngọt nhennnn",,
Món Việt,Bún đậu nhà Vua,"Nhiều chi nhánh, search GG",Nhiều CN,,,,
,Cơm cà ri Nhật Coco ichibanya,"Nhiều chi nhánh, search GG",Nhiều CN,~120k,,,
,Mì cay Haseyo,"Nhiều chi nhánh, search GG",Nhiều CN,~50k,,,
Món Nhật,Marukame Udon,"Nhiều chi nhánh, search GG",Nhiều CN,>90k,rcm cả nhà udon bò trứng bukkake siêu siêu siêu ngon (tô nhỏ 105k á),,
,geonbae pocha,"2 chi nhánh, search gg",Nhiều CN,,"quán nhậu style hàn, nhiều kiểu soju",,
Món Nhật,Sushi Haru,Nên ăn CN Phan Xích Long,Nhiều CN,500/2ng bể bụng,"Nên ăn cơm cuộn, đồ chiên, sashimi nhất nha. Khi ăn nên xin thêm sốt cam, sốt lươn đặc",,
Món Nhật,Sushi 79,"Nhiều chi nhánh, search GG - nên ăn CN Hồ Xuân Hương rộng rãi",Nhiều CN,400-500/2ng siêu no,"sashimi ngon - tươi - rẻ, cá hồi tái sốt trứng muối ngon đỉnh. đi cuối tuần nhớ book bàn trước để đỡ phải đợi",,
Món Chay,Quán chay Tâm Hậu,"Nhiều chi nhánh, search GG",Nhiều CN,> 35k,"Quán có nhiều chi nhánh, bình thường t hay ăn bên Lâm Văn Bền Q7. Đến hôm rằm siêu đôngg. Đồ ăn nấu ngon, chất lượng, mấy món giả mặn nhìn giống vl. Lẩu cũng ngon mà rẻ nốt, nhiều nấm nhiều rau, đa dạng các thể loại chả. Bình thường t đi ăn 2 người, kêu một nồi lẩu nhỏ còn phải gói mang về í",,
Cafe,Cà phê Tiệm Kiết (rcm bạc xỉu muối với matcha muối),Có 2 CN Lê Văn Sỹ với Bình Thạnh (bạn search instagram nha),Nhiều CN,<60k,,,
,Quán nướng Meat and Meet ,"Chỉ nên ăn ở Q7 và Q1 (Lotte Mart, Saigon Centre) vì có quầy tự phục vụ và kem miễn phí",Nhiều CN,> 250k ,"Bữa đi nguyên team, đi ăn ở đây buffet ăn lòi bản họng, no luôn, thịt ướp đậm đà ngon cực kì, nước ngọt và kem tính trong cái 
Buffet đó rồi, bữa đó còn kêu hôm sau phải đi ăn bên này ","- Nhân viên Meat and Meat đa số khá thái độ
- M&M ở Cresent mall không có line buffet mà sẽ order rồi nhân viên mang món ra ",
Cafe,Cafe Ngọt Ngào,"2 CN Q1 (1: Chung cư Tôn Thất Đạm, 14 Tôn Thất Đạm, Phường Nguyễn Thái Bình, Q1; 2: 28/5 Bà Lê Chân, Tân Định, Q1)",Nhiều CN,40-80,"Khá chill, ai thích nhộn nhịp thì rcm chi nhánh Tôn Thất Đạm, còn chill chill thì chi nhánh Bà Lê Chân, trà bưởi, mận, dâu rừng ngonn ",,
