"ĐÃ SẮP XẾP THEO QUẬN, HUYỆN		",,Mn muốn recommend quán ở quận nào thì add thêm dòng ở quận đó nha,Filter ,,"MỌI NGƯỜI LỌC THEO QUẬN, HUYỆN TÌM CHO DỄ NHA!",,
Loại quán,Món - Quán,ĐỊA CHỈ - CN,Quận,Giá tiền,Review,FEEDBACK MN,ỤA MN CÓ CHỈNH ĐƯỢC SHEET KHÔNG DẠ? TUI ĐÃ BẬT PUBLIC EDIT RỒI Á
,The Epic Roaster,49 Ngô Thời Nhiệm P6 Q3 HCM,3,>60k,,,
Món Việt,Phở - Miến gà Kỳ Đồng,14/5Bis Kỳ Đồng P.9 Q.3 HCM,3,~50k,,,
Món Việt,Cơm Tấm,"Đối diện BHX hẻm 251 Nguyễn Thiện Thuật, Q3",3,30k-40k,,,
Món Việt,Bánh canh cua Bùi Phát,"453/95 Đ. Lê Văn Sỹ, Phường 12, Quận 3",3,35-50k,,,
,TWENTEAFIVE TRÀ SỮA VÀ BÁNH TRÁNG LỤI,"491A / 14 Lê Văn Sỹ, Quận 3",3,Từ 20k,"Quán có không gian ngồi ngoài, trong nhà, nhưng trong nhà hơi hạn chế khách vì không gian nhỏ. Bạn nào mê blindbox thì có thể ghé ở đây vì có một tủ chưng rất nhiều blindbox","Nước ngon, đa dạng topping, nhiều thạch lạ mà ngon như thạch quýt. Rcm cho mn trà quýt, matcha latte,  bánh tráng lụi...Giá cả theo mình thì hợp lý, nước ngon, mình không hiểu tại sao lại hơi vắng. ",
,Bánh mì cô Sáu,"285/26 Võ Văn Tần, P.3, Q.3",3,20-30k,"Bánh mì cô có nước mắm nhà làm ăn rất dính, pate gan tự làm. Rcm bánh mì bì. Ổ đặc biệt 30k cô cho đủ topping (và cho nhiều), ăn xong no quá trời.",,
Món Chay,Buffet chay Lá,"66/10 Phạm Ngọc Thạch, Phường 6, Quận 3",3,50k/người,"Này quán chay kiểu buffer, ăn j gắp đó. Món thì sẽ thay đổi theo ngày. Đa dạng các món từ rau xào, gỏi, tới các món nước. Đặc biệt hoành thánh chiên ăn rất cuốn. Có cả chè nữa. Vị rất dịu, vừa ăn, ăn dô làm đảm bảo tịnh tâm lâng lâng lên tới mây","ê ngon dữ luôn nha mấy cha!! nhất là salad có sốt siêu ngon, hoành thánh cũng bá cháy luôn",
Món Việt,Bún bò viên Vườn chuối,"116/1 Vườn chuối, Phường 4, Quận 3",3,34k,"Khẩu phần hơi ít bún, sữa chua ở đây rất ngon",,
Ăn Vặt,Bột chiên Đạt Thành,"277 Võ Văn Tần, Phường 5, Quận 3",3,35 - 100k,mở cửa sau 1h,,
Món Việt,Bún bò O Huế,"290/81 Lý Thái Tổ, P1, Q3",3,35-50k,Mở chiều tối,,
