STT,Tên quán,Tên món,Phân loại món,Tên đường,Quận,Giờ mở cửa,Khoảng giá,Note
347,Cô Hằng Thịt Nướng,Bún thịt nướng,Món khô,"Hẻm 710/2 Phan Văn Trị, P. 10",Quận Gò Vấp,07:00 - 21:00,37-80k,
348,Tân Hương Nam Quán,Mì sụn Bạc Liêu,Món nước,"382 Bà Hạt, P.8",Quận 10,08:00 - 22:00,25-80k,
349,Mạ Tôi - Bánh Canh Cua,Bánh canh cua,Món nước,"86 Vạn Kiếp, P. 4",Quận Bình Thạnh,15:00 - 21:00,22-40k,
350,STEAK FRITES SAIGON,Steak và spaghetti,Sang choảnh - Không gian xinh,"7/96 Thành Thái, P. 14",Quận 10,10:00-14:00 | 18:00-21:00,150k,
351,Ốc Bông,Ốc,Ăn vặt,"260 Nguyễn Tiểu La, P.8",Quận 10,16:00-23:00,60-100k,
352,Cơm Chiên Bé Tám,Cơm chiên,Cơm,"246 Nguyễn Công Trứ, P. Nguyễn Thái Bình",Quận 1,00:01-01:00 | 18:30-23:59,30-55k,
353,Món Huế,"Bún bò Huế, Bánh bèo Huế",Món nước,"26A Hoàng Hoa Thám, P. 7",Quận Tân Bình,06:30 - 14:00 | 16:00 - 21:00,30-50k,
354,Thanh Tâm Ký,Bò Kho & Hủ Tiếu Mì,Món nước,51 Trần Hữu Trang,Quận Phú Nhuận,05:30 - 13:30,20-30k,
355,Cô Tám,Bánh Mì Nướng Muối Ớt,Bánh mì,"56T Lê Quang Sung, P. 6",Quận 6,09:00 - 22:00,15-20k,
356,An An,bánh mì chảo,Bánh mì,"282/1  Nguyễn Gia Trí, phường 25",Quận Bình Thạnh,06:00 - 22;00 ,27-69k,T6 hãng tuần đồng giá 20k
357,Quán Sương,Bánh canh/bún chả cá,Món nước,"1181 Lê Văn Lương, Xã Phước Kiển",Huyện Nhà Bè,07:00 - 21:00,20-25k,
358,Mì Gà Xá Kén K3,Mì gà ,Món nước,"82 Đường Đồng Đen, P. 14",Quận Tân Bình,06:30 - 12:00 | 16:30 - 21:00,50-99k,
359,Lẩu Xưa 139k,Lẩu,Lẩu,292/1 Nguyễn Xí Phuờng 13,Quận Bình Thạnh,,139-219k,
360,Quán Hào 598,Ốp La Bò Sốt Tiêu Đen,Món khô,"004 Lô F Chung Cư Xóm Cải Mạc Thiên Tích, P. 8",Quận 5,09:00 - 22:00,40k,
361,Bánh Ướt & Bánh Cuốn,Bánh ướt/cuốn,Món nước,"752/53 Lạc Long Quân, P.9",Quận Tân Bình,15:00 - 20:00,30-40k,
362,Quán cháo,Cháo đủ loại ,Món nước,"108 Trần Văn Quang, P.10",Quận Tân Bình,16:00 - 21:00,20-30k,
363,Quán lẩu bò kho xương ống,Lẩu bò kho,Lẩu,207/6 Trần Bình Trọng ,Quận 5,16h30 đến hết,180k,
364,Hủ tiếu Dì Hai,"Hủ tiếu, bánh canh",Món nước,266/98 Tôn Đản,Quận 4,11:00 - 19:00,25-50k,
365,"Xe bánh mì, xôi",Xôi lá chuối tôm khô,Món khô,"271 Tùng Thiện Vương, Phường 11",Quận 8,05:00 - 10:00   15:00 - 17:00,17-20k,
366,Cơm Tấm Bà Chị Hai,Câm tấm,Cơm,"51 Đặng Văn Ngữ , P. 14",Quận Phú Nhuận,18:00 - 22:00,40-70k,
367,Heo quay Kim Mai,heo quay,Món khô,"15 Lô B, chợ Bình Tiên, phường 4",Quận 6,"06:30–11:00, 15:00–18:00",170-320k,
368,Bánh canh hẹ Phú Yên,Bánh canh,Món nước,"18A/4 Nguyễn Thị Minh Khai, phường Đa Kao",Quận 1,6 - 14g và 16g30 - 21g30,40k trở lên,
369,Bánh Đúc Nóng - NGUYÊN,Bánh đúc,Món khô,"188 Vạn Kiếp, P. 2",Quận Bình Thạnh,11:00 - 18:00,30-45k,
370,Bánh Mì Dậu,Bánh mì ,Bánh mì,"538/161 Đoàn Văn Bơ, P. 14",Quận 4,16:00 - 22:00,5-20k,
371,Bánh căn Cô Hằng,Bánh căn tôm mực,Món khô,"100 Trần Hưng Đạo, phường Phạm Ngũ Lão",Quận 1,6:00 – 9:00,6-25k,"nghỉ Chủ nhật và ngày rằm 1, 15"
372,Bò Né Cô Út,Bò beafsteak cháy tỏi,Món khô,"009 Lô K chung cư Nguyễn Thiện Thuật, P.1",Quận 3,06:00 - 12:00,45-100k,
373,Ốc Trứng Muối - Đường B6,Ôc,Ăn vặt,"11 Đường B6, P. 12",Quận Tân Bình,15:00 - 23:00,20-500k,
374,Kim Ký,Hủ Tiếu Mì,Món nước,"255 Nguyễn Công Trứ, P. Nguyễn Thái Bình",Quận 1,18:00 - 22:00,34-45k,
375,Gánh bánh mì đêm,Bánh mì,Bánh mì,"65F Nguyễn Thái Học, Phường Cầu Ông Lãnh",Quận 1,19:00 - 05:00,15k,
376,Tiệm Bún Đậu CÁM,Bún đậu,Món khô,"206 Nguyễn Tri Phương, P. 4",Quận 10,10:00 - 22:00,20-100k,
377,Bún Bò Phú Hưng,Bún bò,Món nước,"284/2 Chợ Lớn, P. 11",Quận 6,06:00 - 12:00,25-35k,
378,Đông Mập,Trà Sữa & Gà Cay Phô Mai,Ăn vặt,"164/5 Nguyễn Oanh, P.17",Quận Gò Vấp,17:00 - 22:00,15-50k,
379,Hủ tiếu heo gà,hủ tiếu,Món nước,"160 Trần Bình Trọng, P.3",Quận 5,18:30 - 04:00,35-100k,
380,Nước Vỉa Hè 347,Trà đào dầm,Quán nước,347 Nguyễn Chí Thanh,Quận 5,19:00 - 23:00,7-15k,
381,Bánh Canh Chả Cá Nha Trang Go79,Bánh canh,Món nước,"264 Trường Sa, P. 3",Quận Bình Thạnh,16:00 - 23:00,19-69k,
382,Ốc Sữa 29,Óc,Ăn vặt,"11 Hoa Sữa, P. 7",Quận Phú Nhuận,15:00 - 23:59,30-50k,
383,TRUYỀN THUYẾT CHAMPONG,Mì cay,Món nước,"62 Nguyễn Hoàng, P. An Phú",Quận 2,11:00 - 22:00,120-220k,
384,Xe cá viên chiên ,cá viên chiên,Ăn vặt,Công trưởng UEH,Quận 3,,5k,
385,Xôi Bánh Mì Cô Tuyền,"Xôi, bánh mì",Món khô,"82 Nguyễn Du, Bến Nghé",Quận 1,05:00 - 09:00,25k,
386,Bún riêu Chị Gái,"Bún riêu, bánh canh",Món nước,"64/19 Nguyễn Khoái, P. 2",Quận 4,06:00 - 15:00,20-30k,
387,Bánh Mì Chảo Cô Lệ,Bánh mì chảo,Món khô,"003 Lô D Chung Cư Nguyễn Thiện Thuật, Nguyễn Thiện Thuật",Quận 3,07:00 - 14:00,20-35k,
388,Vạn quán,Lẩu gà lá é,Lẩu,"123/17 Nguyễn Xí, Phường 26",Quận Bình Thạnh,00:01 - 01:00 | 09:00 - 23:59,120-399k,
389,Hoành thánh lá Ngũ Trảo,Hoành thánh lá tôm,Món nước,"Hẻm 66 Lãnh Binh Thăng, Phường 13",Quận 11,15:00 - 22:00,35k,
390,Quán Bánh Canh Chả Cá Phan Rang,Bánh canh chả cá,Món nước,"135 Đình Phong Phú, P. Tăng Nhơn Phú B",Thủ Đức,06:00 - 12:00,20-30k,
391,"ĂN vặt, bánh tráng nướng, trộn",Bánh tráng trộn,Ăn vặt,"5 Đường Số 42, P. 4",Quận 4,09:00 - 22:00,20-40k,
392,Hàu đại dương,Hàu,Nhậu nhẹt,"179 Phạm Hùng, P.4",Quận 8,16:00 tới hết,30-50k,
393,Lẩu Bò Hẻm 616,Lẩu bò ,Lẩu,"Hẻm 616 Cách Mạng Tháng 8, P. 11",Quận 10,18:00 - 22:00,100-200k,
394,Bò lá lốt mỡ chài,bò lá lốt,Món khô,129/12B Hoàng Văn Thụ p8,Quận Phú Nhuận,15:00 đến hết,80k,
395,Hachiba ramen ,Mì ramen ,Món nước,"353 Sư Phạm Hạnh, P12",Quận 10,10:00 - 21:30,48-80k,
396,Nhi Nhi Quán,"Bánh tráng, cá viên",Ăn vặt,"164 Đường 20, P. 5",Quận Gò Vấp,15:00 - 22:30,7-28k,
397,Thèm Gì Cũng Có,Bánh tráng tóp mỡ,Ăn vặt,"327 Phan Đình Phùng, P. 15",Quận Phú Nhuận,09:00 - 22:00,5- 75k,
398,Hey Pelo - Original French Tacos,Bánh Tacos,Món khô,"Số 60 Trần Khắc Chân, P.Tân Định",Quận 1,10:30 - 22:20,30-110k,
399,Vua Mì,Mì bò hầm,Món nước,190 Cao Thắng P. 11,Quận 10,11:00 - 23:59,20-50k,
400,Hải Sản Phan Thiết,Ốc,Nhậu nhẹt,"005 Lô D C/c Nguyễn Thiện Thuật, P. 1",Quận 3,14:00 - 23:00,50-110k,
401,Bánh Mì Cô Điệp,Bánh mì,Bánh mì,"238 Võ Thành Trang, P. 11",Quận Tân Bình,06:00 - 00:00,25k,
402,Bánh mì Bùi Thị Xuân ,Bánh mì,Bánh mì,"122E Bùi Thị Xuân, P. Phạm Ngũ Lão",Quận 1,05:30 - 01:00,20-30k,
403,Bánh mì Ngã tư Tân Khai,Bánh mì,Bánh mì,"Ngã tư Tân Khai, Nguyễn bá học",Quận 11,05:00 - 11:00,10-20k,
404,Giò Heo Phá Lấu Kha Thi,Giò heo phá lấu,Món khô,"37 Đường Số 1, P. An Lạc",Quận Bình Tân,09:00 - 21:00,10-70k,
405,Hủ tiếu cá 80 năm Pháp Mập,Hủ tiếu cá,Món nước,"108/1 Bis Calmette, P. Nguyễn Thái Bình",Quận 1,06:00 - 10:30,25-45k,
406,Sunset & Chill Sky Bar,Cafe,Quán nước,"1143 Bình Quới, Phường 28",Quận Bình Thạnh,07:00 - 00:00,,
407,Buffe ốc Cô Giang,Ốc,Nhậu nhẹt,"59 Nguyễn Hữu Dật,Tây Thạnh",Quận Tân Phú,,"trong tuần 159k, cuối tuần 179k",
408,Chick And Cheese,"Gà cay, gà rán hàn quốc",Ăn vặt,"963A1 Lò Gốm, P. 8",Quận 6,10:30 - 21:30,29-219k,
409,Bánh Cuốn Cô Loan,Bánh cuốn,Món cuốn,"357B Lê Đại Hành, P. 11",Quận 11,06:00 - 11:30,35-50k,
410,Quán Nướng Má Hai,"Lẩu, nướng",Lẩu,"200 Nguyễn Thượng Hiền, P. 5",Quận 3,10:00 - 22:00,20-70k,
411,Doya Jjambbong,Món Hàn,Sang choảnh - Không gian xinh,"S63-1 Sky Garden 3, P. Tân Phong ",Quận 7,11:00 - 22:00,,
412,Quán Chà Bá,"Mực viên, bò viên",Ăn vặt,"185Q Mai Xuân Thưởng, P. 5",Quận 6,13:00 - 22:00,10-30k,
413,Bò Kho Cây Thoại Ngọc Hầu,Bò Kho ,Món nước,"644 Âu Cơ, P.10",Quận Tân Bình,09:00 - 22:00,55k,
414,Lẩu 72 Nguyễn Trường Tộ,Lẩu,Lẩu,"72 Nguyễn Trường Tộ, P. 3, Tp. Vũng Tàu",,09:00 - 21:00,50-200k,
415,Hủ Tiếu Cô Bảy,Hủ tiếu,Món nước,"Hẻm 301 Lê Văn Sỹ, P. 13",Quận 3,22:00 - 05:00,40-50k,
416,Tibon By Jayden,Trà trái cây,Quán nước,299 Hoàng Sa,Quận 1,06:00 - 22:30,15-45k,
417,Nhà Thơm,Trà trái cây,Quán nước,"42CT Tam Đảo, Cư Xá Bắc Hải, P. 15",Quận 10,08:00 - 22:00,20-30k,
418,San San,Mì Gà Quay,Món khô,"147 Hoa Lan, P. 2",Quận Phú Nhuận,09:30 - 22:00,50k,
419,Bún Bò Cô Thu,Bún bò,Món nước,463B Cách Mạng Tháng 8,Quận 10,15:30 - 00:00,30-40k,
420,Quán Út Phượng,"Há cảo, phá lấu",Món nước,"12/15 Lương Định Của, P. An Khánh",Thủ Đức,12:00 - 20:00,20-35k,
421,Mì Vịt Tiềm Hữu Ký,Mì,Món nước,"84 Nguyễn Văn Lạc, P. 19",Quận Bình Thạnh,06:00 - 23:59,50-100k,
422,Bánh Canh Cua Bùi Phát,bánh canh cua,Món nước,"453/95 Lê Văn Sỹ, P. 12",Quận 3,08:00 - 21:00,35k,
423,Bún Riêu Yến,bún riêu,Món nước,"1346 Trường Sa, P. 3",Quận Tân Bình,06:00 - 18:10,32k,
424,Bún Đậu Homemade,Bún đậu,Món khô,1 Nguyễn Văn Tráng,Quận 1,10:00 - 20:30,25-100k,
425,Bánh Canh Gia Lai,Bánh canh,Món nước,"33 Dân Trí, P. 6",Quận Tân Bình,12:00 - 22:00,30-76k,
426,Bánh mì cô Huyền,Bánh Mì Gà Xé Bơ ,Bánh mì,"6/7 Đồ Sơn, P. 4",Quận Tân Bình,06:00 - 23:00,25k,
427,Quán Phở Sụn Ông Già Đầu Bạc,Phở sụn,Món nước,"Đối diện 212/7 Nguyễn Văn Nguyễn, P. Tân Định",Quận 1,6h30 - 13h00,,
428,MỘC,Bò bít tết,Món khô,11 Công Chúa Ngọc Hân. P. 13,Quận 11,07:30 - 12:00 | 18:30 - 21:00,60-75k,
429,Pizza 777,Pizza & Hotdog,Món khô,"122/7 Yên Thế, P. 2",Quận Tân Bình,10:00 - 23:59,50-200k,
430,Hẻm nướng 197,Đồ nướng,Món khô,"197 Ngô Quyền, P. 6,",Quận 10,18:30 - 21:00,,
431,Lyn’s Chicken,Gà rán sốt,Món khô,"69 Tân Trang, P. 9",Quận Tân Bình,11:00 - 20:30,20-30k,
432,Bánh ướt 25k ,Bánh ướt ,Món nước,"117 Thoại Ngọc Hầu, Hoà Thanh",Quận Tân Phú,7h đến hết,25k,
433,Trang Minh - Bún Chả Hà Nội,Bún chả ,Món nước,"169 Bùi Đình Túy, P. 24",Quận Bình Thạnh,06:30 - 20:00,30-50k,
434,BamBoo Quán,Bánh mì chảo,Bánh mì,"47/24/33 Bùi Đình Túy, P. 24",Quận Bình Thạnh,14:00 - 22:00,30-50k,
435,Bánh mì Cô Lành,Bánh mì thịt bò nướng,Bánh mì,"6 Hồ Xuân Hương, P. 14",Quận Bình Thạnh,06:00 - 10:00 | 12:00 - 19:30,30-40k,
436,Ốc Singapore,Ốc,Ăn vặt,295 nguyễn gia trí,Quận Bình Thạnh,15:00 - 23:00,20-200k,
437,Bánh canh sườn cây 10k,Bánh canh,Món nước,"939 Phạm Thế Hiển, P. 4",Quận 8,13:00 - 18:00,15-25k,
438,Tiệm Cháo Trắng Về Đây Em,Cháo   ,Món nước,221/10 Phan Văn Khỏe,Quận 6,16:00 - 19:00,2-20k,
439,Há Cảo Chi Lăng,Há cảo  ,Món nước,"340 Lãnh Binh Thăng, P. 11",Quận 11,16:00 - 22:00,10-30k,
440,Mì Khô Xá Xíu Gia Phúc,Mì khô xá xíu,Món khô,"198B Xóm Chiếu, P. 14",Quận 4,16:00 - 22:30,30-50k,
441,Hủ Tíu Chay Hẻm 80,Hủ tíu chay,Món nước,"Hẻm 80 Lãnh Binh Thăng, P. 13",Quận 11,14:00 - 21:00,30-40k,
442,MiinTea,Trà Sữa & Trà Trái Cây,Quán nước,"104 Đường 17, Khu Phố 3, P.Tân Kiểng",Quận 7,08:00 - 22:30,19-39k,
443,Chicken Hot Spicy,Gà rán  ,Món khô,"445 Nguyễn Tri Phương, P. 8",Quận 8,,30-150k,
444,Quán ốc Như,Ốc,Nhậu nhẹt,"45 Đ. Số 4, Trường Thọ, Thủ Đức, Thành phố Hồ Chí Minh 70000, Việt Nam",Thủ Đức,16:00 - 23:00,50-200k,
445,Tàu Hủ Đá,Tàu Hũ Đá,Tráng miệng,"475 Đ. Nguyễn Văn Bá, Phước Long B, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Thủ Đức,15:30 - 21:30,15k-50k,
